Category,name,price,link
electronics,BAJAJ by BAJAJ ELECTRICAL New populer 1000 440302 1000 ...,724,https://www.flipkart.com/bajaj-electrical-new-populer-1000-440302-w-dry-iron/p/itm17a711397fbed?pid=IRNGNFANDXDZAHBZ&lid=LSTIRNGNFANDXDZAHBZIVCQ78&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_28&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.IRNGNFANDXDZAHBZ.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
electronics,Hillgrove Electronic 7in1 Professional Mobile Soldering...,785,https://www.flipkart.com/hillgrove-electronic-7in1-professional-mobile-soldering-iron-equipment-tool-machine-combo-kit-set-flux-paste-wire-60-w-temperature-controlled/p/itmc1c0b18da513c?pid=SOIG8ZK94MGETHDH&lid=LSTSOIG8ZK94MGETHDH6HCVK8&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_29&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.SOIG8ZK94MGETHDH.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
electronics,Walkers Electronic Gadget New 10 Items Mobile Soldering...,390,https://www.flipkart.com/walkers-electronic-gadget-new-10-items-mobile-soldering-iron-equipment-tool-machine-combo-kit-set-flux-paste-wire-25-w-simple/p/itmc26192dcb76a8?pid=SOIG57XZKXME8Y2T&lid=LSTSOIG57XZKXME8Y2TEOQY9G&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_30&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.SOIG57XZKXME8Y2T.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
electronics,NUCLETRIC Electronic Digital 10Kg Weight Scale Kitchen ...,274,https://www.flipkart.com/nucletric-electronic-digital-10kg-weight-scale-kitchen-measuring-vegetable-fruits-weighing/p/itm47945df78713e?pid=WSLH5GAAZTKJPGDU&lid=LSTWSLH5GAAZTKJPGDUBUPQ3S&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_39&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.WSLH5GAAZTKJPGDU.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
electronics,SONALEX 30kg Weighing scale electric compact Scale with...,1232,https://www.flipkart.com/sonalex-30kg-weighing-scale-electric-compact-led-display-both-side/p/itm67c3035a3e8f3?pid=WSLGBSHUJ34NZEXV&lid=LSTWSLGBSHUJ34NZEXVKHSYDG&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_32&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.WSLGBSHUJ34NZEXV.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
electronics,FADMAN Portable Electronic Weighing Scale Upto 50 kg wi...,254,https://www.flipkart.com/fadman-portable-electronic-weighing-scale-upto-50-kg-lcd-display-backlight/p/itm2098677182870?pid=WSLFPFCHWMGGT6AM&lid=LSTWSLFPFCHWMGGT6AMMEJXY8&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_33&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.WSLFPFCHWMGGT6AM.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
electronics,NUCLETRIC Electronic Digital 10-Kg Weight Scale for Kit...,404,https://www.flipkart.com/nucletric-electronic-digital-10-kg-weight-scale-kitchen-measuring-grocery-fruits-weighing/p/itmbf31937f6ab31?pid=WSLH3FSFNQCC5WUT&lid=LSTWSLH3FSFNQCC5WUTYOGCAH&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_34&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.WSLH3FSFNQCC5WUT.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
electronics,AHYRA SF-400 A 10Kg Weight Scale with Fast Response Sen...,399,https://www.flipkart.com/ahyra-sf-400-10kg-weight-scale-fast-response-sensor-shop-home-white-weighing/p/itm5b83bc09924cd?pid=WSLGXCVATF623DDF&lid=LSTWSLGXCVATF623DDFSQQMGK&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_36&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.WSLGXCVATF623DDF.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
electronics,Walkers Electronic Gadget New 12 Items New Mobile Solde...,492,https://www.flipkart.com/walkers-electronic-gadget-new-12-items-mobile-soldering-desoldering-equipment-tool-machine-combo-kit-set-flux-paste-wire-25-w-simple/p/itm59efdbd9a5e16?pid=SOIG57YY7PYZY7ZY&lid=LSTSOIG57YY7PYZY7ZYI1YH4C&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_37&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.SOIG57YY7PYZY7ZY.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
electronics,Hillgrove Electric Gadget 11in1 New Mobile Soldering an...,447,https://www.flipkart.com/hillgrove-electric-gadget-11in1-new-mobile-soldering-desoldering-equipment-tool-machine-combo-kit-set-flux-paste-wire-25-w-simple/p/itmf722d78897b6e?pid=SOIGFY4ZCZNM6SVJ&lid=LSTSOIGFY4ZCZNM6SVJNGR9HP&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_38&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.SOIGFY4ZCZNM6SVJ.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
